Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Hoteliers Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 23,
Every Monday Mashup Night,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 23,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 22, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 22, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 22, 2015 ",04:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Hoteliers Night - DJ Vicky,Nightlife - ,I-Bar - The Park,M.G Road,Mar 23,
Every Monday Mashup Night,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 23,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 22, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 22, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 22, 2015 ",04:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Mojito Night with DJ Viky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 24,
Koogu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 24,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015 ",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
Sindhi Food Festival,Food & Drink,Terracotta, Whitefield,"Mar 29, 2015",07:00 PM AM Onwards
Flea Festival,Lifestyle,The Big Pitcher, Kodihalli,"Mar 29, 2015",01:00 PM AM to 11:30 PM AM
Sardinian Food Festival,Food & Drink,Alba , Vittal Mallya Road,"Mar 29, 2015",07:00 PM AM to 11:00 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Tuesday Night - VIJU,Nightlife - ,Amoeba Sports Bar,Kodi Halli,Mar 24,
Tuesday Night - DJ Abi,Nightlife - ,Loft 38,Indira Nagar,Mar 24,
Mojito Night with DJ Viky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 24,
Koogu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 24,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
DJ Duo Hard Candies Live,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
United Nations of Laughter (Stand Up Comedy),Theatre & Arts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Desi Karaoke Night with DJ Vcky,Nightlife - ,No Limits Lounge & Club,Ashok Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015 ",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
Sindhi Food Festival,Food & Drink,Terracotta, Whitefield,"Mar 29, 2015",07:00 PM AM Onwards
Flea Festival,Lifestyle,The Big Pitcher, Kodihalli,"Mar 29, 2015",01:00 PM AM to 11:30 PM AM
Sardinian Food Festival,Food & Drink,Alba , Vittal Mallya Road,"Mar 29, 2015",07:00 PM AM to 11:00 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Wow Wednesday at Nook,Nightlife - ,Nook - Aloft Bengaluru Cessna Business Park,Bangalore,Mar 25,
Remi Panossian Jazz Trio - Jazz Concert,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 25,
Wow Wednesday at WXYZ Bar,Nightlife - ,W XYZ Bar - Aloft Bengaluru Cessna Business Park,Kadubeesana Halli,Mar 25,
A Walk Down a Winding Path,Music & Concerts - ,1 MG Road Mall,Bangalore,Mar 25 - Mar 29,
William Shakespeare's Tempest - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 25 - Mar 26,
Nisha Millets Swim Camps March - April 2015,Sports & Outdoor - ,Ommi Fitness Center,Whitefield,Mar 18 - Mar 30,
DJ Vanshi Live featuring DJ Spyke,Nightlife - ,Indigo Live Music Bar,Koramangala,Mar 28,
DJ Duo Hard Candies Live,Nightlife - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
Music Education Initiative- Announcing Course 6,Music & Concerts - ,S.T.Bed Welfare Association Office,Koramangala,Mar 28 - Mar 29,
United Nations of Laughter (Stand Up Comedy),Theatre & Arts - ,B Flat - HighNote Bar and Dining,Indira Nagar,Mar 28,
One Light - Musical Evening,Music & Concerts,ADA Rangamandira,Kalasipalam,Mar 28,
Synchroshakti - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 28,
Flute by Sri. Hemantha and Sri. Herambha,Music & Concerts - ,Saamagana Sangeetha Sabha,Sahakara Nagar,Mar 28,
Bharatanatyam Recital by Sunita Nair,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Maari Kaadu - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 27 - Mar 28,
VRC ACADEMY OF MUSIC&DANCE,Music & Concerts - ,ADA Rangamandira,Kalasipalam,Mar 28,
Eventurouz ll Saturday ''Danzation'' 28th Feb @What The F? ,Nightlife - ,What the F - Food and Fun,St. Marks Road,Feb 28 - Aug 22,
Adhe Adhure - Play,Theatre & Arts - ,Jus Trufs Chocolatiers,Jakkur Road,Mar 29,
Choodaala - Puppet Show,Theatre & Arts - ,Dhaatu,Banashankari,Mar 29,
Dance Concert - Footlights 6-The Annual Student Showcase,Music & Concerts - ,Alliance Francaise de Bangalore,Vasanth Nagar,Mar 29,
Bechara Maara Gaya - Play,Theatre & Arts - ,Ranga Shankara Theatre,J.P Nagar,Mar 29,
Bangalore Comic Con 2015!,Theatre & Arts - ,White Orchid,Bangalore,Apr 03 - Apr 05,
event,type,place,place1,date,time
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 23, 2015 ",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 23, 2015 ",11:00 AM AM Onwards
War Horse: National Theatre,Films,Phoenix Market City, Whitefield,"Mar 23, 2015 ",04:00 PM AM Onwards
Koogu,Standup & Theater,Ranga Shankara, JP Nagar,"Mar 24, 2015",07:30 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 24, 2015",10:00 AM AM to 07:00 PM AM
Cartoon Exhibition: Sanketh Gurudath,Arts & Crafts,Indian Cartoon Gallery, MG Road,"Mar 24, 2015",11:00 AM AM Onwards
Jollies At Jagriti: Out Of My System,Standup & Theater,Jagriti Theatre, Whitefield,"Mar 25, 2015",08:00 PM AM Onwards
Remi Panossian Jazz Trio: Concert,Music & Dance,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 25, 2015",07:00 PM AM Onwards
Gaste In India 1905 to 1910: Exhibition,Arts & Crafts,National Gallery Of Modern Art, Vasanth Nagar,"Mar 25, 2015",10:00 AM AM to 07:00 PM AM
Neolithic Silence,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 26, 2015",08:00 PM AM Onwards
Supermash: Live,Nightlife,Vapour, Indiranagar,"Mar 26, 2015",08:00 PM AM Onwards
The Improvisers,Standup & Theater,The Humming Tree, Indiranagar,"Mar 26, 2015",09:00 PM AM Onwards
Your Chin: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 27, 2015",09:00 PM AM Onwards
Lagori And Parvaaz: Live,Nightlife,Indigo Live Music Bar, Koramangala,"Mar 27, 2015",09:00 PM AM Onwards
The Seed War: Documentary,Films,Alliance Francaise De Bangalore, Vasanth Nagar,"Mar 27, 2015",07:00 PM AM Onwards
Sky Rabbit: Live,Nightlife,The Humming Tree, Indiranagar,"Mar 28, 2015",09:00 PM AM Onwards
Indian Rhasphody,Music & Dance,Manpho Convention Centre, Nagawara,"Mar 28, 2015",06:00 PM AM Onwards
Moog Masala,Standup & Theater,Kengal Hanumantiah Kala Soudha, Basavanagudi,"Mar 28, 2015",07:30 PM AM Onwards
Sindhi Food Festival,Food & Drink,Terracotta, Whitefield,"Mar 29, 2015",07:00 PM AM Onwards
Flea Festival,Lifestyle,The Big Pitcher, Kodihalli,"Mar 29, 2015",01:00 PM AM to 11:30 PM AM
Sardinian Food Festival,Food & Drink,Alba , Vittal Mallya Road,"Mar 29, 2015",07:00 PM AM to 11:00 PM AM
"Stage42 Comedy, Music, Theatre",Theatre & Arts - ,Bangalore,Bangalore,Feb 01 - Mar 31,
Milkshake Night - DJ Nash,Nightlife - ,The Warehouse,Indira Nagar,Mar 25,
Wow Wednesday at Nook,Nightlife - ,Nook - Aloft Bengaluru Cessna Business Park,Bangalore,Mar 25,
